Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0,0,0,0,0,0
Albania,0.08503624145631433,0.012411268957413988,0.2130921207066827,-269.212821493196,-40.02626002076462,-708.1625403972361
Algeria,0.19290069522062497,0.07559960615943455,0.3600511870690933,-20598.59786370276,-6152.138395937573,-49979.99884144276
Andorra,0.1552501496331664,0,0.3098304452397219,-3.4359038069075334,0,-8.713946237151582
Angola,0,0,0.3191923662750144,0,0,-45410.142630367554
Antigua & Barbuda,0.14610676891294289,0.05731241235760857,0.3029392737267185,-30.45067945255873,-10.970676412842952,-78.64698475088468
Argentina,0.12361142815435956,0,0.2778120900691315,-4314.582469848414,0,-18796.614437202606
Armenia,0.13371491678415207,0.025116213618370183,0.3278698502730013,-546.2585246553592,-86.00351337409721,-1739.6424144665693
Australia,0.18853819593740434,0.07871466767769204,0.3746272504213283,-1670.621262397688,-562.0537949517603,-3909.6186440234105
Austria,0.1601197173972087,0.05620737852610387,0.34778161503652427,-321.5539703198186,-77.82863715313685,-916.7187575404001
Azerbaijan,0.0795976892493466,0.014369773612974052,0.23174049571798952,-2304.2302048937254,-393.4297426509794,-8541.192483541256
Bahamas,0.19978614071576545,0.07794392695683008,0.37469332087125967,-210.4263049997544,-72.88754676900358,-509.2011039499718
Bahrain,0.1544462038749063,0,0.30563504253850526,-467.17431238972176,0,-1200.430103801309
Bangladesh,0,0,3.962262428485621e-4,0,0,-190.7720127596778
Barbados,0.17439225520622448,0.063355124202753,0.35430519773008934,-110.93205018051236,-35.48232591331705,-300.4496239675322
Belarus,0.08642384206217703,0.017232061413573266,0.2034664079717317,-1038.94913001212,-219.8453674328633,-3036.024236498541
Belgium,0.14587267461830072,0.05780082243721257,0.32295380681324715,-464.1480375297349,-152.58551746666222,-1328.1113902989343
Belize,0.1457716362599901,0.005019361062598349,0.2948656151076634,-223.2929233828649,-5.325610348390624,-549.4144038242312
Benin,0,0,0.012476909424923263,0,0,-1061.8739900692854
