Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0,0,0.13703613457558408,0,0,-10903.620364225473
Albania,0.08473871301871173,0.011866959780726084,0.2094850108356191,-273.5759847858776,-35.09428609649964,-807.4985695201104
Algeria,0.19471229493244552,0.08860242831351917,0.34288963977022624,-21215.30268102693,-7030.772827556581,-53932.35769964353
Andorra,0.16556975485421876,0,0.3170187011968495,-3.6119139493596073,0,-9.237838523240574
Angola,0,0,0.3601966959158091,0,0,-49217.00568607176
Antigua & Barbuda,0.15786616488242253,0.05705957979348681,0.2905064967754987,-35.71147741157914,-10.673379198850801,-86.03373591799235
Argentina,0.12776027355566338,0,0.27006053659162366,-4559.180217083874,0,-20413.7086392367
Armenia,0.12788561010572685,0.027614968269657376,0.3427558788138762,-541.5283655766552,-82.8792626595826,-1768.7698193326964
Australia,0.1955924502734973,0.07997225385970158,0.3513957564994611,-1681.7720031904723,-522.811957464335,-4445.378347251466
Austria,0.16047037403083736,0.059627554583743185,0.3115787970972161,-327.20776661523007,-97.15151204629895,-955.3592012086499
Azerbaijan,0.08670118102287813,0.01818290587037818,0.24409568817901822,-2536.981067477983,-441.87031388654145,-10507.778752244998
Bahamas,0.2087017234781921,0.08327599500078639,0.37255123463738354,-212.42176491584956,-69.4170192289172,-490.7931252209315
Bahrain,0.15648875871903803,0,0.31005026066317615,-510.2171589148892,0,-1366.367513821522
Bangladesh,0,0,4.0364570656285106e-5,0,0,-26.946240889678226
Barbados,0.17505756082069138,0.06645168003741696,0.3240335203565218,-114.72818765202459,-37.33100329461264,-299.60578825389393
Belarus,0.09145520321708445,0.021805572071683287,0.20574410884047348,-1079.558183745507,-231.9676117091578,-3038.6099785194133
Belgium,0.15332233948188126,0.05482620906686744,0.29648472007241566,-483.057690459824,-155.2241772880839,-1304.4980008626885
Belize,0.15693680122856024,0,0.29924713177910534,-240.84610846683063,0,-566.9627191674414
Benin,0,0,0.003959816305994187,0,0,-337.2337263708496
Bhutan,0,0,0.3337488404221881,0,0,-1501.5599479664745
Bolivia,0.0021722498635807362,0,0.3586283767909813,-62.41884605943051,0,-9381.012652562973
Bosnia & Herzegovina,0.12561935867057242,0.01829114148288321,0.3177167228709772,-542.0082308703556,-80.45747553612499,-1764.8102919700514
Botswana,0.1467936785820917,0,0.29181320563429775,-863.7500337982933,0,-2441.0838324926294
Brazil,0.23035739629425223,0.11208163368929308,0.3775131864718917,-137901.4659080958,-61976.79705882989,-259565.73481672895
Brunei,0,0,0.37088420478713446,0,0,-143.29844849473352
Bulgaria,0.13072450912761144,0.03746144640049931,0.3168100318150293,-1247.4629966188068,-286.11441697112343,-4099.625860501104
Burkina Faso,0,0,0,0,0,0
Burundi,0,0,0,0,0,0
Cambodia,0,0,0.009757769483453917,0,0,-661.7065502823694
Cameroon,0,0,0.01355902093676122,0,0,-1937.7443577539784
Canada,0.1313104196453253,0.03770803273317045,0.2613311583918642,-1995.9521940549566,-413.32460453707034,-6206.044498290552
Cape Verde,0.14589787612783275,0,0.36730325018131044,-263.24394164485557,0,-818.8623163290545
Central African Republic,0,0,0,0,0,0
Chad,0,0,0,0,0,0
Chile,0.06187475865089305,0,0.1813156264981519,-356.5450415219034,0,-1379.2013086052077
China,0.22566008280212851,0,0.38995021598497964,-298914.17934781377,0,-584923.4532016326
Colombia,0,0,0.16748405576945807,0,0,-8379.069423502073
Comoros,0,0,0.02038320348045738,0,0,-55.30497077744997
Congo - Brazzaville,0.11232228806993964,0,0.23821183482171737,-2523.971275607537,0,-6283.259746123062
Congo - Kinshasa,0,0,0.28961808482984724,0,0,-80927.77344778826
Costa Rica,0,0,0.224229993814352,0,0,-1228.517844334705
Croatia,0.1591854904561146,0.05826848919676196,0.29539928780915026,-656.0149584069791,-205.76051091798584,-1650.2436306204395
Cuba,0,0,0.3186150235118128,0,0,-9137.339524300107
Cyprus,0.15167161723622208,0.06289888234869097,0.29107200661863514,-62.93660725894824,-15.305690930253347,-172.626905397529
Czechia,0.1583405467563768,0.058089340135591166,0.3147430372077874,-1635.0075261242455,-532.1886579994838,-4347.270849486946
Côte d’Ivoire,0.006776441205227807,0,0.31607216391060844,-802.9163354782941,0,-42022.06767420069
Denmark,0.16305873401817272,0.05749445257078638,0.3109068442298673,-232.87522045375835,-60.25944279745398,-559.1672452818659
Djibouti,0,0,0.07407596794681381,0,0,-310.2071806703563
Dominica,0,0,0.3308311957464131,0,0,-73.63600627968884
Dominican Republic,0.12171807029047046,0.030223032745098077,0.219288744648125,-3819.7255193317014,-833.3506047815634,-8513.07133710455
Ecuador,0,0,0.29899600430291384,0,0,-4447.155469862553
Egypt,0,0,0.15184044229352342,0,0,-29543.165745231654
El Salvador,0,0,0.3224951026253276,0,0,-1534.6892277962786
Equatorial Guinea,0.10896105978507314,0,0.27592117450977194,-584.267060413521,0,-1885.261306900676
Estonia,0.18667314227802428,0.07570399067453054,0.3628216535152638,-276.5833347671195,-90.03148872003314,-645.9404640588743
Eswatini,0.12791741427635167,0,0.28431851367888017,-380.8086041499788,0,-1006.6426378840328
Ethiopia,0,0,0,0,0,0
Fiji,0.1405847438385896,0,0.26410029293647885,-349.5697974838837,0,-847.8831002832236
Finland,0.15751541111994702,0.054624010821717375,0.299830004834088,-203.12364519535424,-56.61110912067906,-530.237797619932
France,0.16461619993124105,0.05767230150920266,0.3139653550610059,-3170.7733708966307,-1128.4415323454689,-7761.701259191881
Gabon,0.1980498877378175,0.04516023683222177,0.3609372914026536,-2158.732602475123,-530.2333225075307,-4782.859249840061
Gambia,0,0,0,0,0,0
Georgia,0.11537344666096294,0.03407571036648976,0.3029053615580423,-708.3256268862206,-159.49589197848223,-2588.6558649045437
Germany,0.17214929211191637,0.06864589489677694,0.3298069219018769,-5519.482765182975,-990.1694245710041,-17873.042604519695
Ghana,0,0,0.21919487134573762,0,0,-51059.187910401364
Greece,0.15704500021065704,0.05475471163025995,0.29613303504670574,-455.16715511698203,-147.7071556256832,-1342.01703935736
Grenada,0.25425032119113483,4.5528665564580214e-4,0.41552801979923654,-72.4905671181197,-0.06743395962859908,-153.44150607501842
Guatemala,0.06591491669181099,0,0.18047972981626648,-4311.5000207636585,0,-13386.603637746131
Guinea,0,0,0,0,0,0
Guinea-Bissau,0,0,0.0021966001392921286,0,0,-37.918800303141126
Guyana,0.15293630751853904,0.06817702329382959,0.24263762798275385,-369.9033607814722,-145.20940066269486,-703.7161239362774
Haiti,0,0,0,0,0,0
Honduras,0,0,0.05104849201602941,0,0,-812.8790188568286
Hungary,0.15549480419941225,0.059792651866943464,0.29835089447627167,-1828.4400165660004,-578.5050781444997,-4402.795496607698
Iceland,0.15843569047473113,0.05887295531203399,0.2947837919039782,-12.385983487252819,-3.814739653412917,-32.73099059210583
India,0,0,0.14082650713400324,0,0,-1059413.482007378
Indonesia,0,0,0.07720507090090024,0,0,-38114.44679626344
Iran,0.0500138589203944,0,0.17850048279373285,-9794.862869404285,0,-42377.650729081535
Iraq,0.08928467416451638,0.0013379063067048994,0.2282362158932459,-8651.79043987958,-113.97218200370928,-28223.306215380835
Ireland,0.16650693926218094,0.06093351884740645,0.31139025795164205,-184.58271624304825,-53.593360856941544,-502.4315806209423
Israel,0.15023889437657645,0.0548679018555842,0.2966865850821363,-420.1901739957332,-88.07040276421078,-1194.3222244846138
Italy,0.15668287590527802,0.05277945126137322,0.29907829455599594,-2426.355571623276,-621.1901466511149,-5343.32286837006
Jamaica,0.17247985381119318,0.05579677045720915,0.32903708451518693,-1395.972866966889,-378.3076859799994,-3396.5209405917535
Japan,0.2148275548674656,0.0801989519586619,0.37026817816297347,-10191.820964193192,-3218.8973643443337,-25798.450920987918
Jordan,0.0973728272486854,0.021025895050972184,0.21903900131331105,-3428.261355527373,-731.8662015172544,-8558.850800547596
Kazakhstan,0.12574148544565258,0.04098189788248845,0.2987514212656981,-7042.574068908249,-1947.3041790307814,-23083.54017862095
Kenya,0,0,0.024355465683157704,0,0,-2995.382048675372
Kiribati,0.2200346426209174,0,0.41255538774303624,-106.58597984860862,0,-250.30492739304657
Kuwait,0.0980353934027243,0.024930000524540065,0.23253525233684222,-1047.1446665073681,-218.6919398030139,-3167.052983564195
Kyrgyzstan,0.2221317924821155,0,0.3874537120754227,-4654.302527592297,0,-8896.88367921859
Laos,0,0,3.5757103043709e-5,0,0,-0.6362335591034572
Latvia,0.15393044474847078,0.05610410953439622,0.29633417348254815,-359.14775031231954,-102.1718910389482,-887.1829987913376
Lebanon,0.05077592288173894,0,0.15823528419924618,-581.8630274531106,0,-2251.5341307450085
Lesotho,0,0,0.24155770474538713,0,0,-1499.0436869569266
Liberia,0,0,0.2141848313225371,0,0,-16381.90278622929
Libya,0.06731763518854608,0,0.1872497550916067,-1254.2070383715563,0,-3895.5548222375764
Lithuania,0.16189388145394637,0.05661076126917497,0.30846699901561486,-542.6341846390469,-165.75038423051728,-1468.5026433065116
Luxembourg,0.15917500652447786,0.061187169670961924,0.3016715088043197,-24.40535302211083,-6.121894421111971,-70.97532437415248
Madagascar,0,0,0,0,0,0
Malawi,0,0,0,0,0,0
Malaysia,0.2362548553812659,0,0.4034805289623496,-25288.70265661904,0,-61891.36216013576
Maldives,0.28406961832689476,0.14288775936530662,0.4274865711267547,-708.8802068625407,-311.825540395842,-1289.411903659855
Mali,0,0,0,0,0,0
Malta,0.1597680777485227,0.05416967905185269,0.29944883755567847,-18.73601128476234,-5.096522304926262,-50.33089526732958
Marshall Islands,0.24735131097605453,0.10440243780373973,0.41336325892274217,-46.855575521549596,-16.602373844033618,-97.82825298174285
Mauritania,0,0,0.20426643311014894,0,0,-4081.6032189913644
Mauritius,0.2122206999356817,0.07729782403701707,0.368371716124653,-639.51372926845,-178.13154261745683,-1433.5990552497012
Mexico,0,0,0,0,0,0
